8922,,
8023,,
8123,TD,KA
8223,,
8323,,
8423,UN,UE
8523,,
8623,,
8723,,
8823,,
8923,UN,UW
8024,,
8124,ID,TN
8224,,
8324,,
8424,,
8524,,
8624,,
8724,,
8824,,
8924,,
8025,,
8125,,
8225,,
8325,,
8425,,
8525,,
8625,,
8725,,
8825,DC,TN
8925,MT,CH
8026,,
8126,,UW|
8226,,
8326,,
8426,,
8526,AC,TN
8626,,
8726,,
8826,AT,DL
8926,,
8027,,
8127,AT,UE
8227,TD,RJ
8327,,
8427,AT,PB
8527,AT,DL
8627,,
8727,,
8827,AT,MP
8927,,
8028,,
8128,AT,GJ
8228,,
8328,,
8428,,
8528,,
8628,,
8728,ID,PB
8828,DC,MU
8928,RG,MH
8029,,
8129,AT,KL
8229,,
8329,,
8429,,
8529,,
8629,,
8729,,
8829,,
8929,RG,HR
8030,,
8130,AT,DL
8230,,
8330,,
8430,,
8530,,
8630,,
8730,,
8830,,
8930,VF,HR
8031,,
8131,,
8231,,
8331,,
8431,,
8531,,
8631,,
8731,,
8831,,
8931,ID,
8032,,
8132,,
8232,,
8332,,
8432,,
8532,,
8632,,
8732,,
8832,,
8932,,
8033,,
8133,,
8233,TD,RJ
8333,,
8433,,
8533,,
8633,,
8733,GJ,
8833,,
8933,,
8034,,
8134,,
8234,,
8334,,
8434,MT,JH
8534,,
8634,,
8734,,
8834,,
8934,,
8035,,
8135,,
8235,,
8335,,
8435,,
8535,,
8635,,
8735,,
8835,,
8935,,
8036,,
8136,,
8236,,
8336,,
8436,UN,WB
8536,,
8636,,
8736,,
8836,,
8936,,
8037,,
8137,,
8237,TD,MH
8337,,
8437,ID,PB
8537,,
8637,,
8737,,
8837,,
8937,,
8038,,
8138,,
8238,,
8338,,
8438,TD,TN
8538,,
8638,,
8738,,
8838,,
8938,,
8039,,
8139,,
8239,,
8339,,
8439,,
8539,,
8639,,
8739,,
8839,,
8939,VF,CH
8040,,
8140,,
8240,,
8340,,
8440,,
8540,,
8640,,
8740,,
8840,,
8940,VF,TN
8041,,
8141,,
8241,,
8341,UN,AP
8441,,
8541,,
8641,,
8741,,
8841,,
8941,,
8042,,
8142,VF,AP
8242,,
8342,,
8442,,
8542,,
8642,,
8742,,
8842,,
8942,,
